app,cluster,request_count,request_examples,earliest_timestamp,latest_timestamp
MySLT,0,37,"system error displayed every time want subscribe unsubscribe package .; want advanced report , think need pay extra .; slt srilanka number fastes accurate apps .",2020-05-08 19:05:59,2025-04-22 14:52:39
MySLT,2,15,"basic feature service provider app , broken missing myslt .; app improving , please add dark mode option download view detailed bill app .; please add feature app well .",2020-05-07 15:55:40,2025-04-16 03:26:30
MySLT,1,25,"add refresh button; want go use slt broadband service , please careful steal money .; worst ever ... cant reload using mobile bank app , communication , laugh , cargills need find mcash dealer arcade ... really dissapointing",2020-04-08 01:05:48,2024-11-24 19:17:43
Mobitel,0,42,wish theyll provide service like still unfortunately disappointing; l want reload; digitalised world fellow still th century .. want steal customer .,2018-08-16 16:07:04,2025-05-22 20:53:20
Mobitel,1,87,cant make least bearable live ?; please add gp data gp gp prepaid sim; done much work put reload make easy like dialog app .,2018-08-25 11:21:21,2025-04-21 08:25:57
Mobitel,2,74,feature need develope .; totally scam called fair use policy scamming u need remove thing totally fair scamming; always need enter card detail .,2018-08-01 18:48:30,2025-02-26 11:25:07
Dialog,2,275,never work need use; sooo good need stop data used like bill disconnected; time need switch dev option open app .,2013-11-18 13:59:13,2025-06-13 03:13:38
Dialog,3,176,think dialog add option buy package someone else .; tried add new connection app didnt add properly close open app getting message saying there bug app .. please necessary change deploy product; please try add connection .,2014-01-12 13:11:11,2025-05-30 15:08:36
Dialog,0,256,update app google supported huawei phone ?; never get want time .; app helpful want check balance always say maintenance,2014-01-15 01:15:28,2025-05-03 14:20:20
Dialog,4,75,working properly .. open app need log ... please fix ..; fix .; would great app could optimized better speed performance .,2014-08-29 15:24:18,2025-05-02 15:05:59
Dialog,1,133,"hell need turn developer option order work app ? whoever come idea must top level management rather developer .; need setting work device developer option , dont care abt security concern .; need turn developer option work app ?",2014-12-20 01:43:46,2025-03-15 13:28:27
